s.no,s.temp,o.temp,step
779,87.93,88.68,9.04
780,87.89,88.83,9.09
781,87.89,88.9,9.14
782,87.89,88.65,9.31
783,87.85,88.54,8.89
784,87.89,88.54,9.14
785,87.89,88.9,9.28
786,87.82,89.4,8.84
787,87.75,88.43,9.02
788,87.75,90.55,8.99
789,87.82,88.43,9.09
790,87.75,88.5,9.16
791,87.67,88.57,9.14
792,87.71,88.68,9.16
793,87.71,88.39,9.36
794,87.67,88.39,9.15
795,87.67,88.39,9.12
796,87.64,88.32,9.19
797,87.64,88.43,9.16
798,87.64,88.32,8.9
799,87.67,88.39,8.84
800,87.64,88.29,9.2
801,87.6,88.29,8.76
802,87.64,88.25,9.07
803,87.6,88.14,9.13
804,87.6,88.29,9.15
805,87.57,88.29,9.14
806,87.53,88.14,9.05
807,87.53,88.14,9.16
808,87.57,88.03,9.05
809,87.53,88.14,9.15
810,87.49,88.18,9.3
811,87.57,88.14,9.42
812,87.53,88.25,8.99
813,87.53,88.25,9.19
814,87.49,88.25,8.82
815,87.49,88.25,9.46
816,87.49,88.39,9.11
817,87.57,88.07,9.08
818,87.49,89.58,9.19
819,87.53,89.55,9.25
820,87.49,89.29,8.99
821,87.49,88.29,9.63
822,87.53,88.83,9.6
823,87.46,89.08,9.24
824,87.49,88.79,9.34
825,87.53,88.93,9.3
826,87.46,89.19,9.66
827,87.49,89.08,9.23
828,87.49,89.26,9.44
829,87.46,89.33,9.28
830,87.49,89.44,9.24
831,87.42,89.4,9.38
832,87.46,89.33,9.31
833,87.46,88.65,9.27
834,87.46,88.57,9.32
835,87.42,88.79,9.39
836,87.49,88.79,9.43
837,87.49,88.83,9.28
838,87.46,90.48,9.51
839,87.42,90.55,9.38
840,87.49,90.73,9.29
841,87.42,90.73,9.4
842,87.49,89.83,9.13
843,87.46,89.65,9.39
844,87.35,89.69,8.95
845,87.42,89.76,9.3
846,87.35,88.5,9.58
847,87.35,88.93,9.26
848,87.35,88.75,9.26
849,87.42,89.01,9.32
850,87.42,88.83,9.29
851,87.31,88.68,9.32
852,87.35,88.75,9.39
853,87.35,88.68,9.61
854,87.42,88.54,9.3
855,87.35,88.39,9.41
856,87.31,88.43,9.37
857,87.28,88,9.47
858,87.31,88.32,9.29
859,87.42,88.32,9.29
860,87.31,88.18,9.26
861,87.31,88,9.37
862,87.31,87.93,9.25
863,87.35,88,9.3
864,87.28,88.25,9.29
865,87.31,88.39,9.29
866,87.28,88.57,9.26
867,87.35,88.43,9.52
868,87.24,88.43,9.15
869,87.24,88.25,9.25
870,87.28,88.32,9.32
871,87.31,88.29,9.14
872,87.28,88.07,9.29
873,87.28,90.66,9.21
874,87.24,90.73,8.93
875,87.28,90.66,9.12
876,87.24,90.7,9.33
877,87.31,90.66,9.29
878,87.24,90.66,9.34
879,87.31,88.57,9.22
880,87.21,88.39,9.2
881,87.28,88.32,9.31
882,87.21,88.14,9.3
883,87.17,88,9.32
884,87.24,87.93,9.25
885,87.24,87.82,9.26
886,87.24,87.78,9.2
887,87.24,87.67,9.26
888,87.24,88.65,9.19
889,87.21,89.4,9.38
890,87.24,89.55,9.28
891,87.21,89.51,9.27
892,87.21,89.51,9.22
893,87.21,89.51,9.24
894,87.24,87.82,9.33
895,87.24,87.82,9.3
896,87.21,87.82,9.3
897,87.17,87.82,9.29
898,87.24,87.75,9.28
899,86.95,87.57,8.86
900,87.17,90.55,8.28
901,87.24,90.95,9.34
902,87.21,90.99,9.34
903,87.21,91.71,9.35
904,87.17,91.45,9.45
905,87.17,91.38,9.49
906,87.17,91.2,9.28
907,87.17,90.55,9.42
908,87.21,89.91,9.28
909,87.03,89.44,9.34
910,87.1,89.8,9.34
911,87.1,89.55,9.16
912,87.1,89.15,9.41
913,87.13,89.65,9.35
914,87.1,89.91,9.31
915,87.21,89.91,9.61
916,87.17,89.98,9.34
917,87.13,89.76,9.4
918,87.21,89.8,9.25
919,87.21,89.69,9.22
920,87.17,89.91,9.21
921,87.17,89.69,9.31
922,87.13,89.55,9.08
923,87.17,89.44,9.23
924,87.13,89.65,9.23
925,87.21,89.65,9.17
926,87.24,89.51,9.19
927,87.06,89.44,9.4
928,87.1,89.55,9.26
929,87.1,88.29,9.25
930,87.21,89.98,9.33
931,87.21,90.16,9.27
932,87.06,90.05,9.25
933,87.13,90.41,9.09
934,87.17,90.48,9.29
935,87.21,90.7,9.28
936,87.17,90.66,9.49
937,87.21,90.34,9.03
938,87.17,90.16,9.25
939,87.21,90.23,9.29
940,87.21,90.19,9.22
941,87.17,90.3,9.69
942,87.21,90.19,9.46
943,87.17,88.5,9.81
944,87.17,88.25,9.7
945,87.21,88.29,10.06
946,87.24,88.39,9.32
947,87.21,88.54,9.49
948,87.21,88.83,9.45
949,87.28,88.9,9.26
950,87.28,88.79,9.47
951,87.28,88.9,9.48
952,87.28,88.83,9.43
953,87.24,88.57,9.4
954,87.24,88.54,9.42
955,87.24,88.68,9.42
956,87.31,88.57,9.45
957,87.28,88.9,9.41
958,87.31,88.83,9.38
959,87.35,88.68,9.37
960,87.31,89.01,9.42
961,87.42,89.15,9.37
962,87.35,89.01,9.36
963,87.46,89.15,9.29
964,87.42,89.08,9.42
965,87.49,89.04,9.25
966,87.46,89.04,9.46
967,87.49,89.01,8.33
968,87.49,89.04,9.34
969,87.46,89.01,9.47
970,87.49,88.83,9.35
971,87.57,88.93,9.44
972,87.57,89.04,9.3
973,87.49,89.15,9.42
974,87.53,89.15,9.43
975,87.57,89.15,9.25
976,87.53,89.08,9.4
977,87.6,89.15,9.52
978,87.57,89.33,9.45
979,87.57,89.51,9.24
980,87.6,89.15,9.46
981,87.57,88.9,9.24
982,87.6,89.19,9.25
983,87.6,89.01,9.44
984,87.6,89.01,9.4
985,87.64,88.79,9.34
986,87.64,88.9,9.49
987,87.67,88.79,9.44
988,87.67,88.93,9.4
989,87.67,88.68,9.49
990,87.67,88.79,9.52
991,87.67,88.79,9.41
992,87.67,88.75,9.51
993,87.67,88.83,9.48
994,87.75,88.9,9.52
995,87.71,89.01,9.38
996,87.75,88.68,9.48
997,87.71,88.83,9.35
998,87.71,88.68,9.46
999,87.71,88.9,9.39
1000,87.67,89.04,9.44
1001,87.75,89.01,9.39
1002,87.71,89.01,9.26
